10-1075,P35498-P14867,1BYY-5OSA,DB00273,Identity:36/1589(2.3%),N/A,N/A,N/A,N/A,N/A,N/A
10-417,P35498-P39086,1BYY-3FV1,DB00273,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1000-1064,P47869-P14867,5O8F-5OSA,DB01589,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1000-601,P47869-P18505,5O8F-4COF,DB01589,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1000-602,P47869-P28472,5O8F-4COF,DB01589,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1000-603,P47869-P18505,5O8F-4COF,DB01589,Identity:1386/2290(60.5%),N/A,N/A,N/A,N/A,N/A,N/A
1000-999,P47869-P47869,5O8F-5O8F,DB01589,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1001-1065,P47869-P14867,5O8F-5OSA,DB01346,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1002-181,P47869-P48169,5O8F-1VRY,DB00418,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1002-182,P47869-Q16445,5O8F-1VRY,DB00418,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1003-1069,P47869-P14867,5O8F-5OSA,DB00306,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1003-183,P47869-P48169,5O8F-1VRY,DB00306,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1003-186,P47869-Q16445,5O8F-1VRY,DB00306,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1004-1003,P47869-P47869,5O8F-5O8F,DB00306,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1004-1069,P47869-P14867,5O8F-5OSA,DB00306,Identity:834/2392(34.9%),N/A,N/A,N/A,N/A,N/A,N/A
1004-184,P47869-Q16445,5O8F-1VRY,DB00306,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1004-185,P47869-P48169,5O8F-1VRY,DB00306,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1004-186,P47869-Q16445,5O8F-1VRY,DB00306,Identity:394/2444(16.1%),N/A,N/A,N/A,N/A,N/A,N/A
1005-1006,P47869-P47869,5O8F-5O8F,DB00231,N/A,N/A,N/A,N/A,N/A,N/A,N/A
